text,Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,RSI_14,BB_upper,BB_lower,Stoch_%K,Stoch_%D,Close_lag1,Close_lag5,Future_Close,Weekly_Return,label
"SMCI stock data for 56. Close: -0.37, Weekly return: 0.012",56,-0.3571872086172168,-0.36044027823080094,-0.36520304325141606,-0.3681234420974928,-0.1732328065637179,-0.3555941499686298,-0.34052820566247827,-0.353563566685955,-0.3492170658972072,-0.09952395984933461,-1.4489859149934103,-0.3503918659870979,-0.33005517204139856,-1.7447258201626643,-1.4421391932510608,-0.3576386666844967,-0.35538385371960646,3.371999979019165,0.012004790410249537,1
"SMCI stock data for 57. Close: -0.37, Weekly return: 0.0262",57,-0.3717030388785668,-0.36991912144022704,-0.37111446073372867,-0.368711475768445,-0.1946314322028102,-0.3590033104317458,-0.3415229944473541,-0.35587985786131804,-0.3506518170261503,-0.11004802104566865,-1.3087448363542256,-0.3516803767390489,-0.3330038989672454,-1.199422134696753,-1.6133939238551114,-0.3676371917693379,-0.3492524355170045,3.4070000648498535,0.026204859444704447,1
"SMCI stock data for 58. Close: -0.37, Weekly return: -0.0071",58,-0.3685261817914151,-0.3670896183539542,-0.3662732217227402,-0.365232296020474,-0.3270944618438886,-0.36219632750177916,-0.3425410340168368,-0.35729979499539555,-0.3517171615861321,-0.11434921477537462,-1.068270788408564,-0.3530100042640222,-0.3348643607261365,-0.8129283782478953,-1.3476232689257253,-0.3682253444280209,-0.3468489183653304,3.367000102996826,-0.0070775373632002226,0
"SMCI stock data for 59. Close: -0.36, Weekly return: -0.0129",59,-0.36422519116308644,-0.3648731641506059,-0.36183964949855413,-0.36425224769095216,-0.3497633255346165,-0.36468196832389,-0.34347603580520875,-0.35834916750679346,-0.35262947114579934,-0.11608146625738841,-0.839266103792182,-0.35497971386002225,-0.33572403631694664,-0.7064100026224143,-0.9755004330050004,-0.3647454606732492,-0.3493995905830052,3.367000102996826,-0.01289941664684505,0
"SMCI stock data for 60. Close: -0.37, Weekly return: 0.0313",60,-0.3640296942374067,-0.367514035946483,-0.3656107343380895,-0.3686624651738005,-0.33842889368925255,-0.3667942707708927,-0.3445937198409265,-0.35992160549490354,-0.3538077448676533,-0.12086183315084652,-1.365357505323414,-0.3565142718725296,-0.33747175268136687,-1.1857426929370787,-0.970597846936841,-0.3637652140324186,-0.3556781638516077,3.424999952316284,0.03131582355561133,1
"SMCI stock data for 61. Close: -0.37, Weekly return: 0.0243",61,-0.36808630496912953,-0.36859867992056555,-0.3681587580675401,-0.3661633454384491,-0.34243502908287254,-0.36640128448702086,-0.34548886376361376,-0.3608642429628387,-0.35470973181904814,-0.12146349639227552,-1.0488538394584739,-0.35814865224485004,-0.3384069002301144,-0.8069644250400454,-0.9684604209788498,-0.3681763239161562,-0.365684638171138,3.4539999961853027,0.024317917460364148,1
"SMCI stock data for 62. Close: -0.36, Weekly return: 0.0308",62,-0.3650071905184803,-0.36624076068200484,-0.36260406269235707,-0.364448255020237,-0.3526946441153141,-0.36554653721145486,-0.3463358458841238,-0.36139566105237503,-0.3554151934505859,-0.11952337172129618,-0.6807004738534319,-0.3603673185377941,-0.3383083766878006,-0.5975474308926146,-0.9294450768673787,-0.36567669848767675,-0.3662732584351405,3.51200008392334,0.030818907271759528,1
"SMCI stock data for 63. Close: -0.37, Weekly return: 0.049",63,-0.3647139393036232,-0.36680666579663773,-0.3640819201004191,-0.3664083516792807,-0.39037837298050404,-0.36578232851330134,-0.3472608831070862,-0.36214954802454863,-0.3562166398419007,-0.1190779512875031,-0.882778874951112,-0.36164250174234147,-0.339120302211627,-0.8368803233259274,-0.8044160133274763,-0.3639612610234924,-0.3627906080310458,3.5320000648498535,0.04900503617631843,1
"SMCI stock data for 64. Close: -0.37, Weekly return: 0.0529",64,-0.36486056491105173,-0.36699529708703343,-0.36438767322800475,-0.3664083516792807,-0.38572083345784014,-0.3662146129570838,-0.3480912577505649,-0.3627874523856186,-0.3569587198338589,-0.11796119500360182,-0.6660250499151801,-0.36313976942498455,-0.33956481149275924,-0.8368803233259274,-0.8151375960301559,-0.36592175430515356,-0.36180958205420966,3.5450000762939453,0.052866043318112406,1
"SMCI stock data for 65. Close: -0.36, Weekly return: 0.0788",65,-0.3651538161259088,-0.3643544252911563,-0.3629607847994866,-0.3635662161969064,-0.37793655411576543,-0.3651928490874936,-0.34916742329168077,-0.36288609134744193,-0.3574308815844131,-0.11365235347300588,-0.4588527301317295,-0.3640825254540456,-0.33986684360206165,-0.4898481999122496,-0.7765391825398972,-0.36592175430515356,-0.36622419894997227,3.694999933242798,0.07883211231694065,1
"SMCI stock data for 66. Close: -0.36, Weekly return: 0.0935",66,-0.3623190699191905,-0.3648260091388684,-0.36301174162909494,-0.36214514261417036,-0.3671558157800888,-0.3643872262686031,-0.35009910342626505,-0.3627489910443186,-0.35776059327213294,-0.10823110677055302,-0.8129521908009493,-0.36626284669356873,-0.3388128208357145,-0.3163314249371284,-0.5899792466980839,-0.3630790437209296,-0.3637225862174657,3.7769999504089355,0.09351475233942191,1
"SMCI stock data for 67. Close: -0.36, Weekly return: 0.0481",67,-0.3609016968158314,-0.3609590170902506,-0.35924066893949513,-0.3593029954486983,-0.38080273228355865,-0.36335563610224797,-0.3510972134689751,-0.36219185501542045,-0.3578509316351756,-0.10066067442137838,-0.7763492917576752,-0.3676704543947208,-0.33803347603200723,0.07727308300078312,-0.2623550765927303,-0.3616576825860867,-0.3620057849106264,3.680999994277954,0.04812070225403309,1
"SMCI stock data for 68. Close: -0.36, Weekly return: 0.0493",68,-0.3574315885138226,-0.3585539428399524,-0.3551638188224386,-0.35832294711917645,-0.3516198273023916,-0.36173456651008506,-0.3519043377238004,-0.361568319465839,-0.3578604576791586,-0.09324778912197841,-0.5596060052938739,-0.3680511216471169,-0.33791402742646093,0.5163318841442663,0.09825060811412843,-0.35881496031640103,-0.3639678368642987,3.7060000896453857,0.04926387927541814,1
"SMCI stock data for 69. Close: -0.36, Weekly return: -0.0181",69,-0.35694284037328583,-0.3592613129897977,-0.35587727518663315,-0.3576859145366775,-0.388196169148207,-0.35998577614142546,-0.35271478323645994,-0.36094183898968046,-0.3578210996193937,-0.0863661227219564,-0.07935850625147689,-0.36863343475054067,-0.3376126453651513,1.1443490816989021,0.6217450626156363,-0.35783471367557046,-0.3639678368642987,3.4809999465942383,-0.018053632813067464,0
"SMCI stock data for 70. Close: -0.35, Weekly return: -0.1367",70,-0.35630746662532053,-0.3526119728666445,-0.35394076986228934,-0.35033555206526346,-0.24257477610044173,-0.35733311638290743,-0.353188096925786,-0.35927089445600097,-0.35722875255798314,-0.0736514713091079,1.4285001942541053,-0.36756930827808354,-0.33828562426015163,1.4050351580655034,1.0976027741658283,-0.35719755219048444,-0.3611228662093748,3.190000057220459,-0.136671146182983,0
